"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","mode","mode_name","type_of_service","mode_voms","major_mechanical_failures","major_mechanical_failures_1","other_mechanical_failures","other_mechanical_failures_1","total_mechanical_failures","total_mechanical_failures_1","vehicle_passenger_car_miles","vehicle_passenger_car_miles_1","vehicle_passenger_car_revenue","vehicle_passenger_car_miles_2","train_miles","train_miles_questionable","train_revenue_miles","train_revenue_miles_1"
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","TB","Trolleybus","DO","110","1210",,"1052",,"2262",,"2763078",,"2575445",,"0",,"0",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","VP","Vanpool","DO","977","18",,"0",,"18",,"6705162",,"6705162",,"0",,"0",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","SR","Streetcar Rail","DO","10","35",,"23",,"58",,"183850",,"177754",,"183850",,"177754",
"King County, dba: King County Metro","Seattle","WA","00001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","80389","Seattle--Tacoma, WA","3544011","2270","FB","Ferryboat","DO","2","6",,"5",,"11",,"52310",,"52310",,"0",,"0",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9946","Bremerton, WA","224449","222","DR","Demand Response","DO","66","7",,"6",,"13",,"1407016",,"1273013",,"0",,"0",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9946","Bremerton, WA","224449","222","MB","Bus","DO","100","26",,"31",,"57",,"2616373",,"2212491",,"0",,"0",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9946","Bremerton, WA","224449","222","VP","Vanpool","DO","48","1",,"1",,"2",,"534730",,"534730",,"0",,"0",
"Kitsap County Public Transportation Benefit Area Authority, dba: Kitsap Transit","Bremerton","WA","00020","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9946","Bremerton, WA","224449","222","FB","Ferryboat","DO","6","23",,"15",,"38",,"328050",,"312823",,"0",,"0",
"City of Knoxville, dba: Knoxville Area Transit","Knoxville","TN","40002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","45640","Knoxville, TN","597257","64","DR","Demand Response","DO","20","12",,"9",,"21",,"578886",,"522900",,"0",,"0",
"City of Knoxville, dba: Knoxville Area Transit","Knoxville","TN","40002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","45640","Knoxville, TN","597257","64","MB","Bus","DO","44","184",,"92",,"276",,"2757453",,"2602349",,"0",,"0",
"Laketran","Painesville","OH","50117","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","102","DR","Demand Response","DO","71","61",,"161",,"222",,"2606333",,"2162208",,"0",,"0",
"Laketran","Painesville","OH","50117","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","102","MB","Bus","DO","18","121",,"174",,"295",,"1216316",,"1121998",,"0",,"0",
"Laketran","Painesville","OH","50117","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","17668","Cleveland, OH","1712178","102","CB","Commuter Bus","DO","13","10",,"10",,"20",,"527631",,"365995",,"0",,"0",
"City of La Crosse, dba: City Of La Crosse MTU","La Crosse","WI","50004","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","45910","La Crosse, WI--MN","98872","26","DR","Demand Response","PT","10","14",,"22",,"36",,"212607",,"119949",,"0",,"0",
"City of La Crosse, dba: City Of La Crosse MTU","La Crosse","WI","50004","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","45910","La Crosse, WI--MN","98872","26","MB","Bus","DO","16","20",,"311",,"331",,"935106",,"896617",,"0",,"0",
"Lakeland Area Mass Transit District , dba: Citrus Connection","Lakeland","FL","40031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","46828","Lakeland, FL","277915","76","DR","Demand Response","DO","31","70",,"3",,"73",,"672315",,"567300",,"0",,"0",
"Lakeland Area Mass Transit District , dba: Citrus Connection","Lakeland","FL","40031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","46828","Lakeland, FL","277915","76","MB","Bus","DO","35","189",,"10",,"199",,"1572792",,"1521139",,"0",,"0",
"Lakeland Area Mass Transit District , dba: Citrus Connection","Lakeland","FL","40031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","46828","Lakeland, FL","277915","76","MB","Bus","PT","9","2",,"1",,"3",,"611140",,"562974",,"0",,"0",
"Lakeland Area Mass Transit District , dba: Citrus Connection","Lakeland","FL","40031","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","46828","Lakeland, FL","277915","76","DR","Demand Response","PT","1","1",,"0",,"1",,"69688",,"57145",,"0",,"0",
"Lakeland Bus Lines, Inc.","Dover","NJ","20163","Private-For-Profit Corporation","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","40","CB","Commuter Bus","DO","40","4",,"30",,"34",,"1182325",,"1055587",,"0",,"0",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","28117","Eugene, OR","270179","132","DR","Demand Response","PT","21","5",,"22",,"27",,"690401",,"604764",,"0",,"0",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","28117","Eugene, OR","270179","132","MB","Bus","DO","57","149",,"127",,"276",,"2322114",,"2109325",,"0",,"0",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","28117","Eugene, OR","270179","132","MB","Bus","PT","2","9",,"3",,"12",,"113123",,"111189",,"0",,"0",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","28117","Eugene, OR","270179","132","VP","Vanpool","PT","5","0",,"0",,"0",,"112539",,"112539",,"0",,"0",
"Lane Transit District","Eugene","OR","00007","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","28117","Eugene, OR","270179","132","RB","Bus Rapid Transit","DO","13","123",,"82",,"205",,"711342",,"688393",,"0",,"0",
"City of Laredo , dba: Laredo Transit Management Inc.","Laredo","TX","60009","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","47854","Laredo, TX","251462","45","DR","Demand Response","DO","8","4",,"12",,"16",,"238405",,"199647",,"0",,"0",
"City of Laredo , dba: Laredo Transit Management Inc.","Laredo","TX","60009","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","47854","Laredo, TX","251462","45","MB","Bus","DO","37","26",,"19",,"45",,"1679956",,"1602404",,"0",,"0",
"Lee County , dba: LeeTran","Fort Myers","FL","40028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","13510","Cape Coral, FL","599242","88","DR","Demand Response","DO","47","53",,"37",,"90",,"2409844",,"1880776",,"0",,"0",
"Lee County , dba: LeeTran","Fort Myers","FL","40028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","13510","Cape Coral, FL","599242","88","MB","Bus","DO","41","67",,"29",,"96",,"2804074",,"2650181",,"0",,"0",
"Lehigh and Northampton Transportation Authority","Allentown","PA","30010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","1495","Allentown--Bethlehem, PA--NJ","621703","139","DR","Demand Response","PT","66","15",,"17",,"32",,"2244246",,"1811814",,"0",,"0",
"Lehigh and Northampton Transportation Authority","Allentown","PA","30010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","1495","Allentown--Bethlehem, PA--NJ","621703","139","MB","Bus","DO","71","62",,"737",,"799",,"4611967",,"3567129",,"0",,"0",
"Lehigh and Northampton Transportation Authority","Allentown","PA","30010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","1495","Allentown--Bethlehem, PA--NJ","621703","139","MB","Bus","PT","2","0",,"4",,"4",,"44501",,"44501",,"0",,"0",
"Livermore / Amador Valley Transit Authority","Livermore","CA","90144","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","50533","Livermore--Pleasanton--Dublin, CA","240381","49","MB","Bus","PT","49","45",,"14",,"59",,"1578276",,"1328472",,"0",,"0",
"Long Beach Transit","Long Beach","CA","90023","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","167","MB","Bus","DO","157","1262",,"252",,"1514",,"7004229",,"6359244",,"0",,"0",
"Long Beach Transit","Long Beach","CA","90023","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","167","DR","Demand Response","PT","10","3",,"0",,"3",,"194932",,"133379",,"0",,"0",
"MTA Long Island Rail Road","New York","NY","20100","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","1109","CR","Commuter Rail","DO","1109","223",,"11",,"234",,"83708550",,"76530483",,"9882995",,"9059841",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","HR","Heavy Rail","DO","52","58",,"13",,"71",,"6287729",,"6085994",,"1097459",,"1062347",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","LR","Light Rail","DO","166","286",,"78",,"364",,"15338612",,"14618325",,"6403204",,"6110558",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","MB","Bus","DO","1453","6637",,"12517",,"19154",,"69602421",,"61005588",,"0",,"0",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","MB","Bus","PT","108","629",,"107",,"736",,"6528176",,"5283295",,"0",,"0",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","VP","Vanpool","PT","781","57",,"54",,"111",,"18132574",,"18132574",,"0",,"0",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","RB","Bus Rapid Transit","DO","24","326",,"395",,"721",,"1518670",,"1497703",,"0",,"0",
"Los Angeles County Metropolitan Transportation Authority , dba: Metro","Los Angeles","CA","90154","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","51445","Los Angeles--Long Beach--Anaheim, CA","12237376","2651","DR","Demand Response","DO","67","81",,"287",,"368",,"3279831",,"2843992",,"0",,"0",
"Loudoun County, dba: Loudoun County Transit","Leesburg","VA","30081","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","73","MB","Bus","PT","39","16",,"105",,"121",,"1754799",,"1512911",,"0",,"0",
"Loudoun County, dba: Loudoun County Transit","Leesburg","VA","30081","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","73","CB","Commuter Bus","PT","27","13",,"24",,"37",,"933738",,"451647",,"0",,"0",
"Loudoun County, dba: Loudoun County Transit","Leesburg","VA","30081","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","92242","Washington--Arlington, DC--VA--MD","5174759","73","DR","Demand Response","PT","7","7",,"6",,"13",,"154257",,"126284",,"0",,"0",
"Lowell Regional Transit Authority, dba: LRTA","Lowell","MA","10005","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","72","DR","Demand Response","PT","36","3",,"8",,"11",,"570971",,"481157",,"0",,"0",
"Lowell Regional Transit Authority, dba: LRTA","Lowell","MA","10005","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","72","MB","Bus","PT","36","11",,"12",,"23",,"977947",,"955629",,"0",,"0",
"Lower Rio Grande Valley Development Council","Weslaco","TX","60090","MPO, COG or Other Planning Agency","Full Reporter","2023","52390","McAllen, TX","779553","33","DR","Demand Response","DO","4","0",,"5",,"5",,"139775",,"115079",,"0",,"0",
"Lower Rio Grande Valley Development Council","Weslaco","TX","60090","MPO, COG or Other Planning Agency","Full Reporter","2023","52390","McAllen, TX","779553","33","MB","Bus","DO","29","10",,"100",,"110",,"1908227",,"1809391",,"0",,"0",
"Luzerne County Transportation Authority","Kingston","PA","30015","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80227","Scranton, PA","366713","67","DR","Demand Response","DO","35","7",,"8",,"15",,"942031",,"722020",,"0",,"0",
"Luzerne County Transportation Authority","Kingston","PA","30015","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","80227","Scranton, PA","366713","67","MB","Bus","DO","32","30",,"112",,"142",,"1233454",,"1206097",,"0",,"0",
"Madison County Transit District","Pontoon Beach","IL","50146","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77770","St. Louis, MO--IL","2156323","115","DR","Demand Response","PT","14","1",,"7",,"8",,"587217",,"488529",,"0",,"0",
"Madison County Transit District","Pontoon Beach","IL","50146","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77770","St. Louis, MO--IL","2156323","115","MB","Bus","PT","69","124",,"25",,"149",,"4116050",,"3454840",,"0",,"0",
"Madison County Transit District","Pontoon Beach","IL","50146","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","77770","St. Louis, MO--IL","2156323","115","VP","Vanpool","DO","32","2",,"2",,"4",,"564784",,"564784",,"0",,"0",
"City of Madison","Madison","WI","50005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","53200","Madison, WI","450305","177","MB","Bus","DO","150","193",,"685",,"878",,"5183588",,"4690340",,"0",,"0",
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit","Sarasota","FL","40026","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","9536","Bradenton--Sarasota--Venice, FL","779075","53","DR","Demand Response","DO","28","185",,"106",,"291",,"663268",,"521717",,"0",,"0",
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit","Sarasota","FL","40026","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","9536","Bradenton--Sarasota--Venice, FL","779075","53","MB","Bus","DO","25","216",,"109",,"325",,"1558933",,"1388490",,"0",,"0",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","4843","Baltimore, MD","2212038","1550","CR","Commuter Rail","PT","149","125",,"0",,"125",,"6664289",,"6357532",,"1341204",,"1285973",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","4843","Baltimore, MD","2212038","1550","DR","Demand Response","DO","11","4",,"349",,"353",,"162235",,"128609",,"0",,"0",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","4843","Baltimore, MD","2212038","1550","DR","Demand Response","PT","457","509",,"1013",,"1522",,"16709238",,"13264074",,"0",,"0",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","4843","Baltimore, MD","2212038","1550","HR","Heavy Rail","DO","40","800",,"18",,"818",,"4997891",,"4693155","W","850776",,"744098",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","4843","Baltimore, MD","2212038","1550","LR","Light Rail","DO","17","1800",,"59",,"1859",,"3075613",,"2984967","W","1329756",,"1328613",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","4843","Baltimore, MD","2212038","1550","MB","Bus","DO","642","2800",,"34",,"2834",,"21756983",,"19688546",,"0",,"0",
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2023","4843","Baltimore, MD","2212038","1550","CB","Commuter Bus","PT","92","168",,"1",,"169",,"8978774",,"6527713",,"0",,"0",
"City of El Paso, dba: Sun Metro","El Paso","TX","60006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","27253","El Paso, TX--NM","854584","156","DR","Demand Response","PT","55","52",,"49",,"101",,"2224722",,"1965843",,"0",,"0",
"City of El Paso, dba: Sun Metro","El Paso","TX","60006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","27253","El Paso, TX--NM","854584","156","MB","Bus","DO","97","24",,"13",,"37",,"6335810",,"5728304",,"0",,"0",
"City of El Paso, dba: Sun Metro","El Paso","TX","60006","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","27253","El Paso, TX--NM","854584","156","SR","Streetcar Rail","DO","4","0",,"5",,"5",,"44532",,"43451",,"44532",,"43451",
"Mass Transportation Authority , dba: MTA Flint","Flint","MI","50032","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","29872","Flint, MI","298964","242","DR","Demand Response","DO","148","37",,"9",,"46",,"5490825",,"4609089",,"0",,"0",
"Mass Transportation Authority , dba: MTA Flint","Flint","MI","50032","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","29872","Flint, MI","298964","242","DR","Demand Response","PT","2","0",,"0",,"0",,"39552",,"33082",,"0",,"0",
"Mass Transportation Authority , dba: MTA Flint","Flint","MI","50032","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","29872","Flint, MI","298964","242","MB","Bus","DO","92","70",,"68",,"138",,"3855163",,"3388100",,"0",,"0",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","2208","CR","Commuter Rail","PT","406","224",,"37",,"261",,"24516000",,"23726200",,"4711257",,"4554104",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","2208","DR","Demand Response","PT","460","311","Q","984","Q","1295",,"10442489",,"8408318",,"0",,"0",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","2208","FB","Ferryboat","PT","10","15",,"0",,"15",,"247873",,"242186","Q","0",,"0",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","2208","HR","Heavy Rail","DO","312","288",,"24",,"312",,"17157209","Q","16777587","Q","2859535",,"2796264",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","2208","LR","Light Rail","DO","128","668",,"80",,"748",,"5637875",,"5565301","Q","3087740",,"3050574",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","2208","MB","Bus","DO","624","754",,"374",,"1128",,"22515698",,"19885084","Q","0",,"0",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","2208","MB","Bus","PT","234","6",,"2",,"8",,"1503402",,"1474859","Q","0",,"0",
"Massachusetts Bay Transportation Authority","Boston","MA","10003","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","2208","RB","Bus Rapid Transit","DO","34","87",,"44",,"131",,"1463906","Q","1365292","Q","0",,"0",
"City of Memphis, dba: Memphis Area Transit Authority","Memphis","TN","40003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56116","Memphis, TN--MS--AR","1056190","131","DR","Demand Response","DO","54","36",,"130",,"166",,"1913173",,"1559196",,"0",,"0",
"City of Memphis, dba: Memphis Area Transit Authority","Memphis","TN","40003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56116","Memphis, TN--MS--AR","1056190","131","MB","Bus","DO","73","303",,"1411",,"1714",,"4257126",,"3808066",,"0",,"0",
"City of Memphis, dba: Memphis Area Transit Authority","Memphis","TN","40003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","56116","Memphis, TN--MS--AR","1056190","131","SR","Streetcar Rail","DO","4","35",,"301",,"336",,"81290",,"78305",,"81290",,"78305",
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus","Merced","CA","90173","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","56251","Merced, CA","150052","45","DR","Demand Response","PT","17","0",,"0",,"0",,"484393",,"419658",,"0",,"0",
"Transit Joint Powers Authority for Merced County, dba: Merced The Bus","Merced","CA","90173","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","56251","Merced, CA","150052","45","MB","Bus","PT","28","104",,"14",,"118",,"1739296",,"1608098",,"0",,"0",
"Merrimack Valley Regional Transit Authority, dba: Merrimack Valley Transit","Haverhill","MA","10013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","81","DR","Demand Response","PT","41","7",,"5",,"12",,"1008736",,"869961",,"0",,"0",
"Merrimack Valley Regional Transit Authority, dba: Merrimack Valley Transit","Haverhill","MA","10013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","81","MB","Bus","PT","39","20",,"5",,"25",,"1722199",,"1500472",,"0",,"0",
"Merrimack Valley Regional Transit Authority, dba: Merrimack Valley Transit","Haverhill","MA","10013","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","9271","Boston, MA--NH","4382009","81","CB","Commuter Bus","PT","1","0",,"0",,"0",,"7142",,"3225",,"0",,"0",
"METRO Regional Transit Authority","Akron","OH","50010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","766","Akron, OH","541879","175","DR","Demand Response","DO","59","21",,"33",,"54",,"1234682",,"1037210",,"0",,"0",
"METRO Regional Transit Authority","Akron","OH","50010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","766","Akron, OH","541879","175","DR","Demand Response","PT","19","0",,"8",,"8",,"581773",,"516291",,"0",,"0",
"METRO Regional Transit Authority","Akron","OH","50010","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","766","Akron, OH","541879","175","MB","Bus","DO","97","56",,"364",,"420",,"4336583",,"3801252",,"0",,"0",
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM","Mobile","AL","40043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","57925","Mobile, AL","321907","40","DR","Demand Response","DO","20","7",,"16",,"23",,"604283",,"558045",,"0",,"0",
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM","Mobile","AL","40043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","57925","Mobile, AL","321907","40","MB","Bus","DO","20","19",,"54",,"73",,"1131174",,"1086553",,"0",,"0",
"Metro Transit","Minneapolis","MN","50027","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","57628","Minneapolis--St. Paul, MN","2914866","548","CR","Commuter Rail","PT","20","0",,"2",,"2",,"203521",,"200463",,"51647",,"50207",
"Metro Transit","Minneapolis","MN","50027","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","57628","Minneapolis--St. Paul, MN","2914866","548","LR","Light Rail","DO","48","155",,"271",,"426",,"3895053",,"3810381",,"1331481",,"1290923",
"Metro Transit","Minneapolis","MN","50027","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","57628","Minneapolis--St. Paul, MN","2914866","548","MB","Bus","DO","480","208",,"3119",,"3327",,"21028709",,"17555211",,"0",,"0",
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","New York","NY","20078","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","1143","CR","Commuter Rail","DO","1132","53",,"0",,"53",,"69962298",,"62289006",,"10320840",,"9126186",
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","New York","NY","20078","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","1143","FB","Ferryboat","PT","2","3",,"0",,"3",,"49476",,"49476",,"0",,"0",
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad","New York","NY","20078","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2023","63217","New York--Jersey City--Newark, NY--NJ","19426449","1143","MB","Bus","PT","9","5",,"57",,"62",,"195870",,"113239",,"0",,"0",
"Metropolitan Atlanta Rapid Transit Authority","Atlanta","GA","40022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","3817","Atlanta, GA","5100112","753","HR","Heavy Rail","DO","160","741",,"224",,"965",,"18569677",,"17970296",,"3271732",,"3158071",
"Metropolitan Atlanta Rapid Transit Authority","Atlanta","GA","40022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","3817","Atlanta, GA","5100112","753","MB","Bus","DO","384","7699",,"2568",,"10267",,"26741770",,"23905144",,"0",,"0",
"Metropolitan Atlanta Rapid Transit Authority","Atlanta","GA","40022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","3817","Atlanta, GA","5100112","753","DR","Demand Response","PT","207","330",,"518",,"848",,"8860958",,"7192777",,"0",,"0",
"Metropolitan Atlanta Rapid Transit Authority","Atlanta","GA","40022","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","3817","Atlanta, GA","5100112","753","SR","Streetcar Rail","DO","2","5",,"2",,"7",,"38227",,"37990",,"38227",,"37990",
"Metropolitan Bus Authority","San Juan","PR","40086","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79093","San Juan, PR","1844410","108","DR","Demand Response","DO","30","96",,"72",,"168",,"621517",,"465794","Q","0",,"0",
"Metropolitan Bus Authority","San Juan","PR","40086","Independent Public Agency or Authority of Transit Service","Full Reporter","2023","79093","San Juan, PR","1844410","108","MB","Bus","DO","78","1885",,"1831",,"3716",,"2490913",,"2237185","Q","0",,"0",
"Metropolitan Council","Minneapolis","MN","50154","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","57628","Minneapolis--St. Paul, MN","2914866","710","DR","Demand Response","PT","590","199",,"436",,"635",,"30196758",,"24894277",,"0",,"0",
"Metropolitan Council","Minneapolis","MN","50154","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","57628","Minneapolis--St. Paul, MN","2914866","710","MB","Bus","PT","67","6",,"12",,"18",,"3795099",,"3166039",,"0",,"0",
"Metropolitan Council","Minneapolis","MN","50154","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","57628","Minneapolis--St. Paul, MN","2914866","710","VP","Vanpool","PT","53","1",,"0",,"1",,"976698",,"976698",,"0",,"0",
"City of Evansville","Evansville","IN","50043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2023","28333","Evansville, IN","206855","29","DR","Demand Response","DO","12","4",,"7",,"11",,"224515",,"203320",,"0",,"0",
